YEAR;DEPARTAMENTO;UBIGEO;EVN
2007;AMAZONAS;010000;72.40
2007;ANCASH;020000;72.34
2007;APURIMAC;030000;71.77
2007;AREQUIPA;040000;73.51
2007;AYACUCHO;050000;70.92
2007;CAJAMARCA;060000;72.07
2007;CALLAO;070000;76.24
2007;CUSCO;080000;70.76
2007;HUANCAVELICA;090000;69.95
2007;HUANUCO;100000;71.52
2007;ICA;110000;75.91
2007;JUNIN;120000;71.80
2007;LA LIBERTAD;130000;73.54
2007;LAMBAYEQUE;140000;73.54
2007;LIMA;150000;75.75
2007;LORETO;160000;70.33
2007;MADRE DE DIOS;170000;71.64
2007;MOQUEGUA;180000;75.13
2007;PASCO;190000;71.92
2007;PIURA;200000;71.74
2007;PUNO;210000;68.55
2007;SAN MARTIN;220000;72.40
2007;TACNA;230000;74.15
2007;TUMBES;240000;75.20
2007;UCAYALI;250000;71.19
2010;AMAZONAS;010000;73.26217696
2010;ANCASH;020000;73.42446728
2010;APURIMAC;030000;72.17821254
2010;AREQUIPA;040000;75.04367572
2010;AYACUCHO;050000;70.23758593
2010;CAJAMARCA;060000;73.10144766
2010;CALLAO;070000;78.55812264
2010;CUSCO;080000;70.05203538
2010;HUANCAVELICA;090000;65.87880771
2010;HUANUCO;100000;71.90857616
2010;ICA;110000;78.05114188
2010;JUNIN;120000;72.08865468
2010;LA LIBERTAD;130000;74.72776168
2010;LAMBAYEQUE;140000;74.66276729
2010;LIMA;150000;77.81872092
2010;LORETO;160000;70.15894161
2010;MADRE DE DIOS;170000;71.88548362
2010;MOQUEGUA;180000;76.82125968
2010;PASCO;190000;71.43377374
2010;PIURA;200000;71.66056387
2010;PUNO;210000;67.43820975
2010;SAN MARTIN;220000;73.18946053
2010;TACNA;230000;75.36687767
2010;TUMBES;240000;77.02601946
2010;UCAYALI;250000;72.02981319
2011;AMAZONAS;010000;73.9074258
2011;ANCASH;020000;73.92538068
2011;APURIMAC;030000;73.19803132
2011;AREQUIPA;040000;75.51373829
2011;AYACUCHO;050000;70.85430356
2011;CAJAMARCA;060000;73.66707478
2011;CALLAO;070000;79.13119644
2011;CUSCO;080000;70.79154484
2011;HUANCAVELICA;090000;66.45712307
2011;HUANUCO;100000;72.47677578
2011;ICA;110000;78.85992409
2011;JUNIN;120000;72.41147153
2011;LA LIBERTAD;130000;75.0881779
2011;LAMBAYEQUE;140000;75.0875327
2011;LIMA;150000;78.33355061
2011;LORETO;160000;70.41833062
2011;MADRE DE DIOS;170000;72.14545475
2011;MOQUEGUA;180000;77.45648862
2011;PASCO;190000;71.72694098
2011;PIURA;200000;71.97248335
2011;PUNO;210000;67.74010807
